,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
"3,444",6/7/2020,Lenoir,,,,,,,22,,6,,2,,16,
"3,445",6/7/2020,Lincoln,,,,,,,19,3,2,,28,,1,
"3,446",6/7/2020,Macon,,,,,,,16,,42,,17,,,
"3,447",6/7/2020,Madison,,,,,,,,,,,,,2,
"3,448",6/7/2020,Martin,,,,,,,15,,1,,3,,5,
"3,449",6/7/2020,McDowell,,,,,,,35,,,,4,,,
"3,450",6/7/2020,Mecklenburg,9,,45,1,192,,397,2,359,4,701,1,,
"3,451",6/7/2020,Mitchell,,,,,,,6,,,,,,,1
"3,452",6/7/2020,Montgomery,,,,,,,26,1,7,1,17,,5,1
"3,453",6/7/2020,Moore,,,,,3,,27,,11,,25,,,2
"3,454",6/7/2020,Nash,,,,,11,,31,,3,,4,,,
"3,455",6/7/2020,New Hanover,2,,,,25,,87,,8,,19,,,
"3,456",6/7/2020,Northampton,,,,,4,,,,3,,2,,2,
"3,457",6/7/2020,Onslow,,,2,,5,,22,,4,,2,,,
"3,458",6/7/2020,Orange,,,2,,5,,6,,25,,26,,,
"3,459",6/7/2020,Pamlico,,,,,,,,,,,,,1,
"3,460",6/7/2020,Pasquotank,,,,,,,5,,20,,,,4,
"3,461",6/7/2020,Pender,,,,,9,,25,,,,1,,,
"3,462",6/7/2020,Perquimans,,,,,,,2,,,,,,1,
"3,463",6/7/2020,Person,,,,,,,10,,6,,4,,2,
"3,464",6/7/2020,Pitt,,,,,25,1,36,2,9,,8,,,
"3,465",6/7/2020,Polk,,,,,,,3,,,,,,2,
"3,466",6/7/2020,Randolph,,,,,6,1,120,5,9,,,,,
"3,467",6/7/2020,Richmond,,,,,7,,10,,9,,3,,,
"3,468",6/7/2020,Robeson,34,2,,,11,,15,1,40,,17,,,
"3,469",6/7/2020,Rockingham,,,,,1,,23,,2,,2,,,
"3,470",6/7/2020,Rowan,,,,,10,,92,,32,,8,,,1
"3,471",6/7/2020,Rutherford,,,,,,,23,,1,,1,,3,1
"3,472",6/7/2020,Sampson,,,,,33,,126,,7,,26,,,
"3,473",6/7/2020,Scotland,,,,,,,8,,,,2,,7,1
"3,474",6/7/2020,Stanly,,,,,,,41,,,,1,,13,
"3,475",6/7/2020,Stokes,,,,,,,2,,,,4,,,
"3,476",6/7/2020,Surry,,,,,,,46,,1,,,,1,
"3,477",6/7/2020,Swain,,,,,,,2,,,,2,,4,
"3,478",6/7/2020,Transylvania,,,,,,,,,,,,,1,
"3,479",6/7/2020,Union,,,,,9,,93,,38,,20,,,1
"3,480",6/7/2020,Vance,,,,,19,1,,,1,,1,,18,2
"3,481",6/7/2020,Wake,,,13,,105,2,145,1,318,1,232,1,,
"3,482",6/7/2020,Warren,,,,,6,,,,1,,,,12,
"3,483",6/7/2020,Washington,,,,,,,,,,,,,2,
"3,484",6/7/2020,Watauga,,,,,,,3,,1,,,,,
"3,485",6/7/2020,Wayne,,,,,34,2,121,1,6,,12,,,
"3,486",6/7/2020,Wilkes,,,,,,,6,,1,,26,,,
"3,487",6/7/2020,Wilson,,,,,20,1,40,3,2,,9,,,
"3,488",6/7/2020,Yadkin,,,,,,,7,,25,,3,,,
"3,489",6/7/2020,Yancey,,,,,,,10,,,,,,,
"3,490",5/31/2020,Alamance,5,,4,,10,,141,,10,,2,,,
"3,491",5/31/2020,Alexander,,,,,,,,,,,,,2,
"3,492",5/31/2020,Alleghany,,,,,,,9,,,,,,,
"3,493",5/31/2020,Anson,,,,,6,,,,,,,,3,
"3,494",5/31/2020,Ashe,,,,,,,5,,,,1,,,
"3,495",5/31/2020,Avery,,,,,,,4,,,,1,,,
"3,496",5/31/2020,Beaufort,,,,,,,5,,1,,2,,1,
"3,497",5/31/2020,Bertie,,,,,5,,,,1,,1,,1,
"3,498",5/31/2020,Bladen,,,,,,,16,,20,,12,,3,1
"3,499",5/31/2020,Brunswick,,,,,3,,53,,3,,6,,,
"3,500",5/31/2020,Buncombe,1,,1,,5,,33,,9,,2,,,2
"3,501",5/31/2020,Burke,,,5,1,10,,209,3,4,,29,,,
"3,502",5/31/2020,Cabarrus,1,,1,,21,,55,,32,,9,,,1
"3,503",5/31/2020,Caldwell,,,,,4,,45,,2,,10,,,
"3,504",5/31/2020,Camden,,,,,,,,,,,,,1,
"3,505",5/31/2020,Carteret,,,,,,,3,,1,,2,,1,
"3,506",5/31/2020,Caswell,,,,,,,2,,1,,,,2,
"3,507",5/31/2020,Catawba,1,,3,,5,,62,,1,,16,,,
"3,508",5/31/2020,Chatham,,,,,5,,15,,8,,36,,,1
"3,509",5/31/2020,Cherokee,,,,,,,,,,,,,1,
"3,510",5/31/2020,Chowan,,,,,,,,,,,,,1,
"3,511",5/31/2020,Clay,,,,,,,,,,,,,2,
"3,512",5/31/2020,Cleveland,,,,,,,16,,12,,1,,5,
"3,513",5/31/2020,Columbus,,,,,,,12,,4,,4,,20,3
"3,514",5/31/2020,Craven,,,7,,6,,11,,1,,,,,
"3,515",5/31/2020,Cumberland,,,,,42,3,25,,17,,10,,,
"3,516",5/31/2020,Currituck,,,,,,,,,,,,,1,
"3,517",5/31/2020,Dare,,,,,,,,,,,4,,,
"3,518",5/31/2020,Davidson,,,1,,2,,54,,8,,42,,,1
"3,519",5/31/2020,Davie,,,,,,,17,,3,,3,,,1
"3,520",5/31/2020,Duplin,,,,,33,,136,3,26,1,1,,,
"3,521",5/31/2020,Durham,,,5,,51,3,57,,295,4,136,,,
"3,522",5/31/2020,Edgecombe,,,,,8,,,,3,,,,14,
"3,523",5/31/2020,Forsyth,2,,2,,39,2,215,2,83,,99,,,
"3,524",5/31/2020,Franklin,,,,,5,,14,,10,,7,,,
"3,525",5/31/2020,Gaston,,,,,14,,67,,8,,6,,,1
"3,526",5/31/2020,Graham,,,,,,,,,,,1,,2,
"3,527",5/31/2020,Granville,1,,,,26,,30,,21,,236,,,2
"3,528",5/31/2020,Greene,,,,,,,7,,4,,12,,5,1
"3,529",5/31/2020,Guilford,1,,43,,87,3,99,5,36,2,104,,,
"3,530",5/31/2020,Halifax,,,,,10,,,,7,,3,,9,1
"3,531",5/31/2020,Harnett,,,,,7,,23,,15,,15,,,
"3,532",5/31/2020,Haywood,,,,,,,,,,,9,,,
"3,533",5/31/2020,Henderson,,,3,,,,17,,7,,17,,,
"3,534",5/31/2020,Hertford,,,,,7,,,,8,,,,2,2
"3,535",5/31/2020,Hoke,2,,,,1,,3,,4,,9,,,2
"3,536",5/31/2020,Hyde,,,,,,,,,,,,,1,
"3,537",5/31/2020,Iredell,,,,,4,,57,,2,,34,,,
"3,538",5/31/2020,Jackson,3,,,,,,7,,,,9,,,1
"3,539",5/31/2020,Johnston,1,,,,21,,120,,19,,22,,,2
"3,540",5/31/2020,Lee,,,,,4,,24,,18,,23,,,
"3,541",5/31/2020,Lenoir,,,,,,,27,,,,1,,12,2
"3,542",5/31/2020,Lincoln,,,,,,,15,,2,,19,,1,
"3,543",5/31/2020,Macon,,,,,,,11,,36,,16,,,
"3,544",5/31/2020,Martin,,,,,,,3,,1,,,,1,
"3,545",5/31/2020,McDowell,,,,,,,35,,,,5,,,
"3,546",5/31/2020,Mecklenburg,6,,34,,121,3,342,5,325,2,537,,,
"3,547",5/31/2020,Montgomery,,,,,,,14,,6,,8,,1,
"3,548",5/31/2020,Moore,,,,,2,,9,,4,,8,,,1
"3,549",5/31/2020,Nash,1,,,,4,,27,,7,,,,,
"3,550",5/31/2020,New Hanover,,,,,10,,53,,5,,7,,,
"3,551",5/31/2020,Northampton,,,,,1,,,,2,,1,,4,
"3,552",5/31/2020,Onslow,,,1,,1,,9,,11,,,,,
"3,553",5/31/2020,Orange,,,4,,2,,8,1,25,2,21,,,
"3,554",5/31/2020,Pamlico,,,,,,,1,,,,,,3,
"3,555",5/31/2020,Pasquotank,,,,,,,5,,4,,1,,1,
"3,556",5/31/2020,Pender,,,,,17,,16,,,,,,,
"3,557",5/31/2020,Perquimans,,,,,,,,,,,,,1,
"3,558",5/31/2020,Person,,,,,,,7,,3,,2,,2,
"3,559",5/31/2020,Pitt,,,,,25,,56,,16,,3,,,2
"3,560",5/31/2020,Polk,,,,,,,5,,,,7,,,
"3,561",5/31/2020,Randolph,,,,,1,,107,3,12,,,,,
"3,562",5/31/2020,Richmond,,,,,3,,10,,7,,,,,
"3,563",5/31/2020,Robeson,23,1,,,28,2,18,1,21,1,12,,,
"3,564",5/31/2020,Rockingham,,,,,3,,9,,1,,3,,,
"3,565",5/31/2020,Rowan,,,,,6,,74,2,27,1,6,,,
"3,566",5/31/2020,Rutherford,,,,,,,11,,1,,1,,2,2
"3,567",5/31/2020,Sampson,,,,,15,,83,,5,,12,,,
"3,568",5/31/2020,Scotland,,,,,,,2,,,,,,7,
"3,569",5/31/2020,Stanly,,,,,,,19,,3,,3,,12,
"3,570",5/31/2020,Stokes,,,,,,,5,,1,,9,,,1
"3,571",5/31/2020,Surry,,,,,,,61,,2,,,,2,1
"3,572",5/31/2020,Swain,,,,,,,1,,1,,5,,4,1
"3,573",5/31/2020,Transylvania,,,,,,,,,,,,,1,
"3,574",5/31/2020,Tyrrell,,,,,,,,,,,,,1,
"3,575",5/31/2020,Union,,,1,,7,,80,,32,,14,,,2
"3,576",5/31/2020,Vance,,,,,24,2,,,5,,4,,18,2
"3,577",5/31/2020,Wake,,,9,,59,1,102,,266,2,142,1,,
"3,578",5/31/2020,Warren,,,,,35,,,,1,,,,14,1
"3,579",5/31/2020,Washington,,,,,,,,,,,,,2,
"3,580",5/31/2020,Watauga,,,,,,,6,,,,1,,,
"3,581",5/31/2020,Wayne,,,,,33,2,133,1,6,,9,,,
"3,582",5/31/2020,Wilkes,,,,,,,5,,,,7,,1,
"3,583",5/31/2020,Wilson,,,,,29,,47,,7,,9,,,2
"3,584",5/31/2020,Yadkin,,,,,,,10,,23,,3,,,1
"3,585",5/31/2020,Yancey,,,,,,,7,,,,1,,,
"3,586",5/24/2020,Alamance,,,2,,12,,62,3,14,,2,,,
"3,587",5/24/2020,Alexander,,,,,,,11,,,,2,,1,
"3,588",5/24/2020,Alleghany,,,,,,,6,,1,,,,,
"3,589",5/24/2020,Anson,,,,,2,,,,,,1,,3,
"3,590",5/24/2020,Ashe,,,,,,,,,,,,,2,
"3,591",5/24/2020,Beaufort,,,,,,,,,,,,,1,
"3,592",5/24/2020,Bertie,,,,,4,,,,,,,,4,
"3,593",5/24/2020,Bladen,,,,,,,13,,9,,,,2,
"3,594",5/24/2020,Brunswick,,,,,2,,8,,2,,7,,,
"3,595",5/24/2020,Buncombe,,,3,,3,,52,6,10,,,,,
"3,596",5/24/2020,Burke,,,1,,1,,116,,2,,24,,,
"3,597",5/24/2020,Cabarrus,,,2,,11,,27,,5,,6,,,1
"3,598",5/24/2020,Caldwell,,,,,1,,29,,3,,10,,,
"3,599",5/24/2020,Camden,,,,,,,,,,,,,1,
"3,600",5/24/2020,Carteret,,,,,,,,,,,,,2,
"3,601",5/24/2020,Caswell,,,,,,,11,,5,,1,,21,
"3,602",5/24/2020,Catawba,,,,,3,,46,7,,,31,,,
"3,603",5/24/2020,Chatham,,,,,7,,9,,10,,22,,,2
"3,604",5/24/2020,Cherokee,,,,,,,,,,,,,1,
"3,605",5/24/2020,Chowan,,,,,,,,,,,,,2,
"3,606",5/24/2020,Cleveland,,,,,,,25,,3,,,,2,1
"3,607",5/24/2020,Columbus,,,,,,,7,,1,,2,,22,4
"3,608",5/24/2020,Craven,,,17,,5,,3,,,,,,,
"3,609",5/24/2020,Cumberland,,,1,,38,3,29,3,18,,8,,,
"3,610",5/24/2020,Currituck,,,,,,,,,,,,,2,
"3,611",5/24/2020,Dare,,,,,,,,,,,,,1,
"3,612",5/24/2020,Davidson,,,,,7,,37,,11,,20,,,2
"3,613",5/24/2020,Davie,,,,,,,20,,1,,5,,1,
"3,614",5/24/2020,Duplin,,,,,35,3,144,1,8,,,,,
"3,615",5/24/2020,Durham,1,,2,,42,1,56,1,210,1,60,,,
"3,616",5/24/2020,Edgecombe,,,,,6,,,,,,,,10,
"3,617",5/24/2020,Forsyth,1,,1,,58,4,220,5,98,2,46,,,
"3,618",5/24/2020,Franklin,,,,,7,,9,,1,,,,,
"3,619",5/24/2020,Gaston,,,,,8,,36,,6,,4,,,1
"3,620",5/24/2020,Gates,,,,,,,,,,,,,1,
"3,621",5/24/2020,Graham,,,,,,,,,,,,,1,
"3,622",5/24/2020,Granville,,,,,15,2,30,6,15,,2,,,
"3,623",5/24/2020,Greene,,,,,,,2,,2,,4,,5,
"3,624",5/24/2020,Guilford,2,1,52,2,81,6,66,4,29,,54,,,
"3,625",5/24/2020,Halifax,,,,,14,,,,1,,2,,7,
"3,626",5/24/2020,Harnett,,,,,3,,8,,3,,1,,,1
"3,627",5/24/2020,Haywood,,,,,,,2,,,,8,,1,
"3,628",5/24/2020,Henderson,,,,,1,,10,,2,,12,,,
"3,629",5/24/2020,Hertford,,,,,23,2,,,11,,10,1,17,2
"3,630",5/24/2020,Hoke,4,,,,13,,3,,7,,14,,,1
"3,631",5/24/2020,Iredell,,,1,,7,,29,,1,,10,,,
"3,632",5/24/2020,Jackson,1,,,,,,5,,,,2,,,
"3,633",5/24/2020,Johnston,,,1,,14,,88,,12,,16,,,
"3,634",5/24/2020,Lee,,,,,7,,40,,16,,25,,,2
"3,635",5/24/2020,Lenoir,,,,,,,11,,4,,,,6,1
"3,636",5/24/2020,Lincoln,,,,,,,11,,,,3,,,
"3,637",5/24/2020,Macon,,,,,,,10,,47,,10,,,
"3,638",5/24/2020,Madison,,,,,,,,,,,,,1,
"3,639",5/24/2020,Martin,,,,,,,12,,,,1,,3,
"3,640",5/24/2020,McDowell,,,,,,,32,,,,2,,,1
"3,641",5/24/2020,Mecklenburg,,,17,1,80,3,296,5,202,3,400,3,,
"3,642",5/24/2020,Mitchell,,,,,,,2,,,,3,,,
"3,643",5/24/2020,Montgomery,,,,,,,24,,9,,16,,2,1
"3,644",5/24/2020,Moore,,,1,,,,7,,4,,12,,,
"3,645",5/24/2020,Nash,,,,,8,,13,,7,,,,,
"3,646",5/24/2020,New Hanover,,,1,,21,,16,,5,,2,,,
"3,647",5/24/2020,Northampton,,,,,8,,,,,,,,1,1
"3,648",5/24/2020,Onslow,,,,,6,,7,,4,,1,,,1
"3,649",5/24/2020,Orange,,,1,,3,,10,,16,,10,,,
"3,650",5/24/2020,Pamlico,,,,,,,,,,,,,1,
"3,651",5/24/2020,Pasquotank,,,,,,,4,,,,1,,4,1
"3,652",5/24/2020,Pender,,,,,2,,8,,1,,,,,
"3,653",5/24/2020,Perquimans,,,,,,,,,,,,,2,
"3,654",5/24/2020,Person,,,,,,,2,,4,,2,,4,
"3,655",5/24/2020,Pitt,,,,,17,,24,,8,,3,,,
"3,656",5/24/2020,Polk,,,,,,,4,,,,1,,,
"3,657",5/24/2020,Randolph,,,2,,7,,64,8,4,,,,,
"3,658",5/24/2020,Richmond,,,,,4,,9,,3,,1,,,
"3,659",5/24/2020,Robeson,21,2,,,29,2,19,1,34,,15,,,
"3,660",5/24/2020,Rockingham,,,2,,2,,15,,4,,1,,,
"3,661",5/24/2020,Rowan,,,,,3,,44,,14,,4,,,
"3,662",5/24/2020,Rutherford,,,,,,,12,,,,,,1,
"3,663",5/24/2020,Sampson,,,,,8,,93,,6,,4,,,
"3,664",5/24/2020,Scotland,,,,,,,6,,2,,,,11,
"3,665",5/24/2020,Stanly,,,,,,,19,,1,,1,,14,1
"3,666",5/24/2020,Stokes,,,,,,,2,,2,,7,,,
"3,667",5/24/2020,Surry,,,,,,,40,,1,,,,3,
"3,668",5/24/2020,Swain,,,,,,,2,,,,2,,8,
"3,669",5/24/2020,Transylvania,,,,,,,,,,,,,2,1
"3,670",5/24/2020,Union,,,,,9,,44,,19,,6,,,1
"3,671",5/24/2020,Vance,,,,,23,4,,,8,,3,2,26,
"3,672",5/24/2020,Wake,1,,8,,38,,85,,158,,45,,,2
"3,673",5/24/2020,Warren,,,,,10,,,,,,,,2,
"3,674",5/24/2020,Washington,,,,,2,,,,,,,,1,
"3,675",5/24/2020,Watauga,,,,,,,11,,,,1,,,
"3,676",5/24/2020,Wayne,,,1,,18,,107,,6,,7,,,2
"3,677",5/24/2020,Wilkes,,,,,,,3,,,,16,,2,
"3,678",5/24/2020,Wilson,,,,,20,,22,,1,,1,,,2
"3,679",5/24/2020,Yadkin,,,,,,,6,,24,,3,,2,
"3,680",5/24/2020,Yancey,,,,,,,4,,,,,,,
"3,681",5/17/2020,Alamance,,,,,9,1,44,3,11,,2,1,,
"3,682",5/17/2020,Alexander,,,,,,,3,,,,3,,,1
"3,683",5/17/2020,Alleghany,,,,,,,,,,,,,1,
"3,684",5/17/2020,Anson,,,,,4,,,,,,1,,6,
"3,685",5/17/2020,Ashe,,,,,,,5,,,,,,,
"3,686",5/17/2020,Avery,,,,,,,,,,,,,1,
"3,687",5/17/2020,Beaufort,,,,,,,1,,,,2,,,
"3,688",5/17/2020,Bertie,,,,,11,,,,6,,,,7,1
"3,689",5/17/2020,Bladen,,,,,,,3,,1,,2,,6,
"3,690",5/17/2020,Brunswick,,,,,,,10,,5,,3,,,1
"3,691",5/17/2020,Buncombe,,,14,,14,1,55,8,10,,,,,
"3,692",5/17/2020,Burke,,,1,,11,,85,,4,,20,,,
"3,693",5/17/2020,Cabarrus,,,4,,13,,37,,7,,,,,2
"3,694",5/17/2020,Caldwell,,,,,5,,14,,1,,8,,,
"3,695",5/17/2020,Caswell,,,,,,,2,,4,,1,,4,
"3,696",5/17/2020,Catawba,,,1,,9,1,27,2,3,,8,,,
"3,697",5/17/2020,Chatham,,,3,,8,2,16,1,7,,53,5,,
"3,698",5/17/2020,Cherokee,,,,,,,,,,,,,1,
"3,699",5/17/2020,Chowan,,,,,,,,,,,,,1,
"3,700",5/17/2020,Cleveland,,,,,,,15,,,,,,,
"3,701",5/17/2020,Columbus,,,,,,,27,3,1,,,,26,
"3,702",5/17/2020,Craven,,,49,,3,,4,,2,,1,,,
"3,703",5/17/2020,Cumberland,1,,1,,44,5,28,6,16,,23,,,
"3,704",5/17/2020,Currituck,,,,,,,,,,,,,1,
"3,705",5/17/2020,Davidson,,,,,4,,30,,5,,19,,,1
"3,706",5/17/2020,Davie,,,,,,,18,,1,,6,,1,
"3,707",5/17/2020,Duplin,,,1,,44,,175,4,12,,,,,
"3,708",5/17/2020,Durham,1,,6,,30,,30,,144,,45,,,2
"3,709",5/17/2020,Edgecombe,,,,,9,,,,2,,1,,9,
"3,710",5/17/2020,Forsyth,,,2,,52,2,194,4,39,,26,,,
"3,711",5/17/2020,Franklin,,,,,5,,11,,,,,,,
"3,712",5/17/2020,Gaston,,,1,,11,,26,,5,,1,,,1
"3,713",5/17/2020,Gates,,,,,,,6,,,,,,,1
"3,714",5/17/2020,Granville,,,,,9,1,34,3,5,,3,,,
"3,715",5/17/2020,Greene,,,,,,,9,,2,,2,,7,
"3,716",5/17/2020,Guilford,1,1,46,3,70,9,67,12,33,,37,,,
"3,717",5/17/2020,Halifax,,,,,15,,,,15,,1,,5,
"3,718",5/17/2020,Harnett,,,,,7,,10,,7,,4,,,
"3,719",5/17/2020,Haywood,,,,,,,6,,2,,7,,,
"3,720",5/17/2020,Henderson,,,6,,,,16,,2,,13,,,
"3,721",5/17/2020,Hertford,,,,,4,,,,,,,,7,1
"3,722",5/17/2020,Hoke,1,,,,9,,12,,6,,15,,,1
"3,723",5/17/2020,Iredell,,,,,1,,28,,4,,4,,,
"3,724",5/17/2020,Jackson,,,,,,,2,,1,,,,,
"3,725",5/17/2020,Johnston,2,,,,7,,57,,11,,8,,,
"3,726",5/17/2020,Jones,,,,,,,,,,,,,1,
"3,727",5/17/2020,Lee,,,,,5,,18,,6,,20,,,
"3,728",5/17/2020,Lenoir,,,,,,,20,,2,,,,16,
"3,729",5/17/2020,Lincoln,,,,,,,9,,2,,1,,,
"3,730",5/17/2020,Macon,,,,,,,8,,10,,4,,,
"3,731",5/17/2020,Martin,,,,,,,10,,1,,1,,7,
"3,732",5/17/2020,McDowell,,,,,,,10,,,,,,1,
"3,733",5/17/2020,Mecklenburg,3,,13,,110,5,262,18,117,,250,1,,
"3,734",5/17/2020,Mitchell,,,,,,,,,,,,,2,
"3,735",5/17/2020,Montgomery,,,,,,,17,1,,,14,1,1,1
"3,736",5/17/2020,Moore,,,,,,,15,,9,,11,,,
"3,737",5/17/2020,Nash,,,,,6,,5,,10,,,,,
"3,738",5/17/2020,New Hanover,,,,,5,,16,,1,,1,,,1
"3,739",5/17/2020,Northampton,,,,,10,,,,,,,,4,1
"3,740",5/17/2020,Onslow,,,,,2,,9,,4,,,,,
"3,741",5/17/2020,Orange,,,1,,3,,2,,15,,4,,,
"3,742",5/17/2020,Pasquotank,,,,,,,4,,,,2,,9,1
"3,743",5/17/2020,Pender,,,,,5,,17,,,,,,,
"3,744",5/17/2020,Perquimans,,,,,,,,,,,,,1,
"3,745",5/17/2020,Person,,,,,,,2,,1,,,,1,
"3,746",5/17/2020,Pitt,,,,,20,,18,,12,,,,,
"3,747",5/17/2020,Randolph,,,,,6,,140,4,5,,,,,
"3,748",5/17/2020,Richmond,,,,,16,,20,,1,,,,,2
"3,749",5/17/2020,Robeson,34,2,1,,66,5,13,1,60,,9,3,,
"3,750",5/17/2020,Rockingham,,,,,3,,17,,4,,,,,
"3,751",5/17/2020,Rowan,,,,,2,,27,,30,,6,,,1
"3,752",5/17/2020,Rutherford,,,,,,,13,,,,,,7,
"3,753",5/17/2020,Sampson,,,,,20,,75,,5,,3,,,1
"3,754",5/17/2020,Scotland,,,,,,,4,,,,,,10,
"3,755",5/17/2020,Stanly,,,,,,,10,,,,2,,6,
"3,756",5/17/2020,Stokes,,,,,,,5,,1,,17,,,
"3,757",5/17/2020,Surry,,,,,,,80,,1,,,,2,
"3,758",5/17/2020,Swain,,,,,,,,,,,,,2,
"3,759",5/17/2020,Transylvania,,,,,,,,,,,,,2,
"3,760",5/17/2020,Union,,,,,6,,31,,6,,4,,,1
"3,761",5/17/2020,Vance,,,,,27,2,,,9,,4,,31,1
"3,762",5/17/2020,Wake,1,,14,,26,1,63,1,118,1,22,,,
"3,763",5/17/2020,Warren,,,,,10,,,,1,,,,8,1
"3,764",5/17/2020,Washington,,,,,,,,,,,,,1,
"3,765",5/17/2020,Watauga,,,,,,,2,,,,1,,,
"3,766",5/17/2020,Wayne,,,2,,33,,106,,7,,10,,,2
"3,767",5/17/2020,Wilkes,,,,,,,10,,,,22,,1,1
"3,768",5/17/2020,Wilson,,,,,36,,30,,2,,2,,,1
"3,769",5/17/2020,Yadkin,,,,,,,8,,21,,3,,1,1
"3,770",5/17/2020,Yancey,,,,,,,,,,,,,1,
"3,771",5/10/2020,Alamance,,,,,9,3,37,7,13,,,,,
"3,772",5/10/2020,Alexander,,,,,,,,,,,3,,1,
"3,773",5/10/2020,Alleghany,,,,,,,4,,,,,,,
"3,774",5/10/2020,Anson,,,,,9,,,,,,,,3,
"3,775",5/10/2020,Ashe,,,,,,,9,,1,,1,,,1
"3,776",5/10/2020,Avery,,,,,,,,,,,,,1,
"3,777",5/10/2020,Beaufort,,,,,,,1,,,,6,,,
"3,778",5/10/2020,Bertie,,,,,13,,,,1,,,,9,
"3,779",5/10/2020,Bladen,,,,,,,6,,5,,1,,10,
"3,780",5/10/2020,Brunswick,,,,,3,,4,,2,,,,,
"3,781",5/10/2020,Buncombe,,,16,,2,,51,18,18,,1,,,
"3,782",5/10/2020,Burke,,,4,,1,,38,,5,,9,,,1
"3,783",5/10/2020,Cabarrus,,,1,,8,,23,4,5,,,,,
"3,784",5/10/2020,Caldwell,,,,,4,,13,,1,,2,,,1
"3,785",5/10/2020,Camden,,,,,,,,,,,,,1,
"3,786",5/10/2020,Carteret,,,,,,,,,,,,,1,
"3,787",5/10/2020,Caswell,,,,,,,,,,,,,2,
"3,788",5/10/2020,Catawba,,,1,,2,,31,,1,,1,,,1
"3,789",5/10/2020,Chatham,,,,,8,,17,6,10,,36,1,,
"3,790",5/10/2020,Cherokee,,,,,,,,,,,,,2,
"3,791",5/10/2020,Chowan,,,,,,,1,,,,,,2,
"3,792",5/10/2020,Cleveland,,,,,,,3,,,,,,1,
"3,793",5/10/2020,Columbus,,,,,,,26,3,1,,,,15,1
"3,794",5/10/2020,Craven,,,66,,7,,1,,1,,,,,1
"3,795",5/10/2020,Cumberland,1,,1,,52,4,26,1,8,,20,,,
"3,796",5/10/2020,Currituck,,,,,,,,,,,,,2,
"3,797",5/10/2020,Dare,,,,,,,,,,,,,1,
"3,798",5/10/2020,Davidson,,,,,3,,57,,9,,9,,,
"3,799",5/10/2020,Davie,,,,,,,9,,4,,2,,,
"3,800",5/10/2020,Duplin,,,1,,71,1,131,5,5,,,,,
"3,801",5/10/2020,Durham,,,2,,40,6,26,,74,,23,,,
"3,802",5/10/2020,Edgecombe,,,,,13,,,,2,,,,1,
"3,803",5/10/2020,Forsyth,,,4,,24,,245,,28,,6,,,2
"3,804",5/10/2020,Franklin,,,,,3,,5,,2,,2,,,
"3,805",5/10/2020,Gaston,,,,,4,,26,,3,,1,,,
"3,806",5/10/2020,Gates,,,,,,,4,,,,,,,1
"3,807",5/10/2020,Granville,,,1,,7,,14,,4,,3,,,
"3,808",5/10/2020,Greene,,,,,,,5,,,,3,,3,
"3,809",5/10/2020,Guilford,,,23,2,44,2,80,9,27,3,22,,,
"3,810",5/10/2020,Halifax,,,,,16,,,,11,,2,,4,
"3,811",5/10/2020,Harnett,,,,,3,,10,,6,,3,,,
"3,812",5/10/2020,Haywood,,,,,,,7,,,,2,,,
"3,813",5/10/2020,Henderson,,,9,1,2,,16,3,3,,5,,,
"3,814",5/10/2020,Hertford,,,,,5,,,,1,,,,1,
"3,815",5/10/2020,Hoke,,,,,12,,6,,7,,20,,,
"3,816",5/10/2020,Iredell,,,,,5,,23,,,,4,,,
"3,817",5/10/2020,Jackson,,,,,,,3,,,,,,,
"3,818",5/10/2020,Johnston,,,,,9,,40,,8,,1,,,
"3,819",5/10/2020,Jones,,,,,,,3,,,,1,,,
"3,820",5/10/2020,Lee,,,,,12,,15,,2,,19,,,1
"3,821",5/10/2020,Lenoir,,,,,,,21,,4,,1,,9,
"3,822",5/10/2020,Lincoln,,,,,,,3,,1,,3,,,
"3,823",5/10/2020,Macon,,,,,,,,,,,,,2,
"3,824",5/10/2020,Madison,,,,,,,,,,,,,1,
"3,825",5/10/2020,Martin,,,,,,,2,,,,,,3,
"3,826",5/10/2020,McDowell,,,,,,,4,,,,,,,
"3,827",5/10/2020,Mecklenburg,3,,17,,84,12,207,12,86,2,149,1,,
"3,828",5/10/2020,Mitchell,,,,,,,,,,,,,1,
"3,829",5/10/2020,Montgomery,,,,,,,16,,3,,7,,1,
"3,830",5/10/2020,Moore,,,,,1,,5,,1,,8,,,1
"3,831",5/10/2020,Nash,,,,,20,,4,,2,,,,,1
"3,832",5/10/2020,New Hanover,,,,,5,,14,,5,,,,,
"3,833",5/10/2020,Northampton,,,,,5,,,,,,,,1,
"3,834",5/10/2020,Onslow,,,,,2,,11,,8,,,,,
"3,835",5/10/2020,Orange,,,,,5,,6,,6,,,,,2
"3,836",5/10/2020,Pamlico,,,,,,,,,,,,,1,
"3,837",5/10/2020,Pasquotank,,,,,,,2,,,,2,,5,2
"3,838",5/10/2020,Pender,,,,,1,,11,,,,1,,,
"3,839",5/10/2020,Perquimans,,,,,,,1,,,,,,2,
